FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
581,557,250,189,12,9,9,0,0
581,558,248,189,11,9,11,0,0
582,558,248,190,12,9,8,0,0
581,558,248,189,12,9,12,0,0
581,558,248,190,12,9,11,0,0
582,558,250,190,11,9,9,0,0
582,558,248,190,11,9,11,0,0
582,558,248,191,12,9,10,0,0
583,559,250,191,12,9,10,0,0
582,558,250,191,11,9,11,0,0
582,558,251,190,12,9,9,0,0
582,559,250,191,12,9,11,0,0
582,558,250,190,12,9,12,0,0
583,559,253,190,12,9,9,0,0
582,558,251,190,12,9,12,0,0
583,559,251,191,12,9,11,0,0
583,560,253,190,11,9,9,0,0
582,558,253,188,12,9,9,0,0
583,559,254,189,12,9,11,0,0
583,559,255,190,12,9,10,0,0
582,558,253,190,12,9,11,0,0
583,558,254,190,11,8,10,0,0
583,560,253,191,12,9,10,1,0
583,560,253,191,12,9,11,2,0
583,559,255,190,11,9,11,0,0
583,559,255,190,12,9,12,0,0
584,560,255,191,12,9,12,1,0
584,559,257,191,12,9,10,0,0
583,559,256,191,12,9,11,2,0
583,559,256,191,12,9,11,0,0
584,559,258,192,12,9,9,0,0
583,560,256,192,12,9,11,1,0
584,559,256,191,12,9,12,0,0
584,560,258,192,12,9,11,0,0
583,559,256,192,12,9,10,2,0
584,559,256,191,12,9,11,0,0
584,560,256,191,12,9,12,1,0
584,560,255,191,12,9,11,2,0
585,561,256,192,12,9,10,0,0
584,560,256,191,12,9,11,1,0
584,560,255,191,12,9,10,0,0
584,561,255,193,12,9,11,0,0
584,560,256,192,12,9,12,0,0
584,560,257,192,12,9,11,0,0
583,561,255,192,12,9,8,0,0
584,561,255,193,12,9,11,0,0
585,561,257,192,12,8,9,0,0
585,561,257,193,12,9,11,0,0
584,560,256,194,12,9,11,0,0
585,560,257,192,12,9,9,0,0
584,560,256,194,12,9,11,3,0
585,560,255,192,11,9,11,1,0
586,561,256,192,12,9,8,0,0
585,561,255,194,12,9,11,4,0
585,561,255,191,12,9,10,0,0
585,561,256,193,12,9,10,0,0
584,561,255,194,12,9,11,1,0
583,560,256,191,11,9,11,3,0
607,547,150,88,12,9,5,0,0
553,542,169,107,13,10,7,0,0
560,545,179,135,12,10,10,0,0
566,547,185,142,12,9,11,0,0
564,546,189,146,12,9,11,1,0
566,548,191,147,12,10,11,1,0
569,550,194,149,12,9,11,2,0
571,550,197,149,12,9,10,0,0
571,552,197,154,12,9,11,0,0
574,552,197,155,11,9,10,0,0
570,549,198,152,12,10,11,0,0
573,553,201,153,12,9,10,1,0
573,553,203,157,12,10,11,0,0
574,554,204,159,12,10,10,1,0
575,555,205,159,12,10,10,1,0
576,556,207,162,13,10,10,0,0
576,557,205,162,12,10,10,0,0
576,558,207,164,12,10,3,0,0
573,560,210,167,12,9,1,6,0
568,560,188,168,11,9,4,6,0
573,565,200,167,12,10,3,7,0
549,561,195,180,10,6,2,7,0
571,566,198,177,11,7,4,4,0
582,569,202,186,11,8,4,4,0
557,563,210,188,12,7,8,0,0
584,572,212,189,12,6,6,1,0
580,574,217,193,12,7,7,6,0
590,576,220,191,12,6,6,7,0
585,576,223,196,12,7,6,6,0
585,576,224,196,12,7,7,6,0
555,566,222,194,12,7,7,6,0
583,575,222,194,12,7,6,7,0
551,564,224,197,12,7,6,6,0
576,571,222,196,12,7,6,7,0
579,577,227,198,12,8,3,7,0
577,579,230,200,12,7,6,7,0
580,578,230,199,12,7,6,7,0
577,572,232,200,12,8,6,7,0
579,574,234,199,12,7,6,8,0
589,580,227,199,12,7,6,6,0
553,553,228,188,11,6,3,6,0
559,560,225,192,11,6,5,3,0
558,555,218,180,11,7,10,6,0
560,556,217,179,11,7,9,6,0
562,556,220,182,11,7,10,6,0
564,558,224,182,12,8,10,5,0
568,559,228,184,12,6,10,5,0
569,563,231,185,12,9,7,3,0
566,560,230,189,12,9,9,1,0
579,575,232,188,12,11,5,3,0
567,562,233,190,13,10,5,0,0
574,567,222,183,12,9,7,1,0
560,559,224,183,12,10,5,0,0
565,563,230,189,12,10,6,0,0
568,566,233,190,12,10,2,0,0
